video_title,video_id,video_length_minutes,video_created,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
"Let's Play Series 1, Part 23 — Installing a PneumaticCraft elevator",js6foxbhtVM,23.00,"Apr 16, 2017",211,30,7.0,30.60,0,0,0.00,0,0,0.00,10,0,0.00,58,3,1,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,4,4,0,0,0,0,4
"Let's Play Series 1, Part 15 — World gen with ATG, Biomes O'Plenty, and Plant MegaPack",ErB3OHD2BHM,22.67,"Apr 08, 2017",209,44,4.7,20.92,0,0,0.00,0,0,0.00,0,0,0.00,23,1,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,3
"Let's Play Series 1, Part 25 — Forestry Power with Multiblock Farms and Ethanol",BNEtkqDeVEk,34.15,"Apr 24, 2017",188,14,13.4,39.33,0,0,0.00,0,0,0.00,4,0,0.00,124,5,2,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,3
"Let's Play Series 1, Part 16 — Starting a new building",DQfZdBwwwNE,19.42,"Apr 09, 2017",185,20,9.3,47.66,0,0,0.00,0,0,0.00,12,0,0.00,60,6,1,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,3
"Let's Play Series 1, Part 7 — The Nether",Y4jXvkOVw8Y,16.17,"Mar 22, 2017",165,23,7.2,44.48,0,0,0.00,0,0,0.00,12,0,0.00,32,2,1,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,2,5,3,0,0,0,3
"Let's Play Series 1, Part 1 — A Quick Tour & Mod List",pDOU_1dekog,17.13,"Apr 05, 2017",160,28,5.7,33.29,0,0,0.00,0,0,0.00,12,0,0.00,0,1,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,1,1,0,1,1,0,3
"Let's Play Series 1, Part 17 — 3D Sketching",QiGV9h6wc3g,21.85,"Apr 11, 2017",149,27,5.5,25.31,0,0,0.00,0,0,0.00,2,0,0.00,22,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1,2,2,0,0,0,0,2
"Let's Play Series 1, Part 21 — Architectural Detail with Forge Microblocks and an IE Windmill",B2x33RTyZ84,26.65,"Apr 15, 2017",148,8,18.5,69.26,0,0,0.00,0,0,0.00,2,0,0.00,27,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2
"Let's Play Series 1, Part 12 — Bees & Trees with Gendustry",DCH_lSe4YhA,19.65,"Apr 05, 2017",122,26,4.7,23.96,0,0,0.00,0,0,0.00,4,0,0.00,24,2,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,2
"Let's Play Series 1, Part 19 — Construction with the BuildCraft Filler & Talk of Forestry Power",nafScJWyNKk,23.12,"Apr 13, 2017",120,12,10.0,43.28,0,0,0.00,0,0,0.00,8,0,0.00,23,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2
