date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-03-22,66,18,3.7,18.05,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,2,1,1,0,0,0,0,0,1,2,2,0,0,0,0,1
2017-03-23,34,24,1.4,6.72,0,0,0.00,0,0,0.00,2,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,1,4,3,5,2,0,0,0,1
2017-03-24,177,26,6.8,31.50,0,0,0.00,0,0,0.00,8,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4,8,4,0,0,0,3
2017-03-25,136,14,9.7,45.33,0,0,0.00,0,0,0.00,10,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2
2017-03-26,53,13,4.0,17.47,0,0,0.00,0,0,0.00,2,0,0.00,22,2,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-03-27,59,17,3.5,16.09,0,0,0.00,0,0,0.00,6,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,2,6,4,1,1,0,1
2017-03-28,2,6,0.3,1.59,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-29,2,11,0.2,1.02,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0
2017-03-30,7,7,1.1,4.84,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2017-03-31,55,21,2.6,11.77,0,0,0.00,0,0,0.00,4,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017-04-01,223,26,8.6,34.74,0,0,0.00,0,0,0.00,4,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,1,1,0,0,0,0,2,2,1,1,0,1,1,0,4
2017-04-02,475,29,16.4,76.83,0,0,0.00,0,0,0.00,6,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
